operator_id,operator_name,operator_phone,operator_address
2034,ИП Кулик Владимир Владимирович,,"Екатерининский пр., д.3"
2054,"ООО ""Балтнедвижсервис""",+78125426423,"196626, г. Санкт-Петербург, пос. Шушары, Новгородский пр. 50"
2036,"ООО ""ТРАНСПОРТНАЯ КОНЦЕССИОННАЯ КОМПАНИЯ""",8(812) 679-32-22,"191167, Санкт-Петербург, Исполкомская ул., 15, литер А, пом. 318-325, tkk-lrt.ru, info@tkk-lrt.ru"
2033,ИП Гиляев Михаил Викторович,,"Итальянская ул., 6, кв. 30"
2032,ИП Марковчин Александр Петрович,,"ул. Кораблестроителей, д. 22, к.1"
2035,"ООО ""М.А.К.С.""",,"195196, Санкт-Петербург, Таллинская ул., д.5 лит.А, оф.319"
1847,"ООО ""ДОМТРАНСАВТО""",8(931) 352-00-28,"196655, Санкт-Петербург, Колпино, Колпинская ул., 8, info@domtransauto.ru, domtransauto.ru"
1827,"ООО ""ВЕСТ-СЕРВИС""",8(812) 309-10-10,"198504, Санкт-Петербург, Петергоф, Гостилицкое шоссе, дом 137, литер А, пом. 1-Н, каб. 62, info@vest-service.ru, vest-service.ru"
945,"ООО ""ПТК""",,"198207, Санкт-Петербург, ул. Стачек, д. 108"
363,"ГУП ""Горэлектротранс""",8(812) 600-44-00,"196105, Санкт-Петербург, ул. Сызранская, д. 15, sd_dr3@spbget.ru, electrotrans.spb.ru"
443,"АО ""Третий парк""",8(812) 245-06-56,"197755, Санкт-Петербург, посёлок Лисий Нос, Приморское шоссе, д. 140, к. 3, литера Д, офис 83, 3park@3park.ru, 3park.ru"
362,"СПб ГУП ""Пассажиравтотранс""",8(812) 458-75-74,"195197, Санкт-Петербург, проспект Полюстровский, дом 39, литера А, info@avtobus.spb.ru, avtobus.spb.ru"
