stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
17609,17609,"ПР. АВИАКОНСТРУКТОРОВ, 49",60.027450,30.223463,0,2,bus
17611,17611,"ПР. АВИАКОНСТРУКТОРОВ, 49",60.026383,30.224832,0,2,bus
17629,17629,Ж.-Д. ПЛАТФОРМА ПОНТОННАЯ ,59.785002,30.627784,0,2,bus
17631,17631,"ОТРАДНОЕ, СУДОРЕМОНТНЫЕ МАСТЕРСКИЕ, ПО ТРЕБОВАНИЮ",59.760517,30.766091,0,2,bus
17632,17632,"ОТРАДНОЕ, ДОРОГА В НИКОЛЬСКОЕ",59.763300,30.774359,0,2,bus
17650,17650,54 КМ,59.887865,31.226863,0,2,bus
17654,17654,54 КМ,59.888734,31.226912,0,2,bus
17652,17652,55 КМ,59.889678,31.246978,0,2,bus
17658,17658,"ОТРАДНОЕ, СУДОРЕМОНТНЫЕ МАСТЕРСКИЕ, ПО ТРЕБОВАНИЮ",59.760252,30.764612,0,2,bus
17660,17660,Ж.-Д. ПЛАТФОРМА ПОНТОННАЯ ,59.785678,30.626367,0,2,bus
17551,17551,СЧАСТЛИВАЯ УЛ.,59.846170,30.270596,0,2,bus
17558,17558,"УЛ. РИХАРДА ЗОРГЕ, УГОЛ УЛ. ДОБЛЕСТИ",59.850624,30.178328,0,2,bus
35295,35295,"Морская наб., 19",59.946536,30.206722,0,2,trolley
35290,35290,"Ст. метро ""Приморская""",59.948636,30.230794,0,2,trolley
35291,35291,"Магазин ""Строитель""",59.949574,30.224093,0,2,trolley
35301,35301,Пл. Балтфлота,59.941978,30.208028,0,2,trolley
17575,17575,ТИХОРЕЦКИЙ ПР.,60.031565,30.364430,0,2,bus
35300,35300,Пл. Беллинсгаузена,59.939347,30.211987,0,2,trolley
35302,35302,"Морская наб., 19",59.946286,30.206888,0,2,trolley
35297,35297,Пл. Беллинсгаузена,59.939001,30.210469,0,2,trolley
35296,35296,Пл. Балтфлота,59.941632,30.208091,0,2,trolley
35299,35299,"Гостиница ""Прибалтийская""",59.940249,30.215973,0,2,trolley
35298,35298,"Морская наб., 9",59.937527,30.213666,0,2,trolley
35305,35305,"КОМАРОВО, ПРИМОРСКОЕ ШОССЕ, 452",60.171783,29.810543,0,2,bus
35304,35304,"КОМАРОВО, ПРИМОРСКОЕ ШОССЕ, 452",60.172036,29.810155,0,2,bus
17591,17591,"ПРЕДПОРТОВАЯ УЛ., 5",59.832244,30.304857,0,2,bus
35324,35324,ЯКОРНАЯ УЛ.,59.943297,30.434139,0,2,bus
35325,35325,ЧУГУННАЯ УЛ.,59.977608,30.346024,0,2,bus
35327,35327,Ж.-Д. СТ. 68 КМ,59.949005,29.302171,0,2,bus
17592,17592,СТ. ПРЕДПОРТОВАЯ,59.832112,30.296924,0,2,bus
35082,35082,"СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",59.986893,30.304406,0,2,bus
35116,35116,"МИТРОФАНЬЕВСКОЕ ШОССЕ, Д. 5, ПО ТРЕБОВАНИЮ",59.899867,30.299486,0,2,bus
35117,35117,МАЛАЯ МИТРОФАНЬЕВСКАЯ УЛ.,59.896735,30.299874,0,2,bus
35118,35118,СТАРООБРЯДЧЕСКАЯ УЛ.,59.889242,30.302271,0,2,bus
17510,17510,"ПОЛЮСТРОВСКИЙ ПР., УГОЛ ЗАМШИНОЙ УЛ.",59.966794,30.394527,0,2,bus
35134,35134,НИКОЛЬСКАЯ ПЛ.,59.923764,30.299170,0,2,bus
35121,35121,СТАРООБРЯДЧЕСКАЯ УЛ.,59.889884,30.302520,0,2,bus
35123,35123,"МИТРОФАНЬЕВСКОЕ ШОССЕ, Д. 5, ПО ТРЕБОВАНИЮ",59.901022,30.299963,0,2,bus
35122,35122,МАЛАЯ МИТРОФАНЬЕВСКАЯ УЛ.,59.896446,30.300428,0,2,bus
35143,35143,ЖЕЛЕЗНОДОРОЖНЫЙ ПР.,59.883543,30.433579,0,2,bus
17409,17409,"УСТЬ-ИЖОРА, УЛ. ТРУДА",59.798509,30.603534,0,2,bus
17410,17410,"УСТЬ-ИЖОРА, УЛ. ТРУДА",59.797648,30.604455,0,2,bus
35167,35167,"КИРОВСК, ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""РОСИЗОЛИТ""",59.861240,30.971603,0,2,bus
35166,35166,"КИРОВСК, ДУБРОВСКАЯ ТЭЦ",59.868088,30.975432,0,2,bus
35165,35165,"КИРОВСК, ДУБРОВСКАЯ ТЭЦ",59.869626,30.976133,0,2,bus
17452,17452,УЛ. ДИМИТРОВА,59.851573,30.398738,0,2,bus
35176,35176,"КИРОВСК, ПОЛИТЕХНИЧЕСКИЙ ТЕХНИКУМ",59.898773,30.997278,0,2,bus
